2019-10-03 18:49:33.168745+0900 Browser[482:4685] 0.001867 DisplayCell end
2019-10-03 18:49:33.168800+0900 Browser[482:4685] 0.001930 DisplayCell start
2019-10-03 18:49:33.168831+0900 Browser[482:4685] 0.001964 DisplayCell end
2019-10-03 18:49:33.168864+0900 Browser[482:4685] 0.001998 DisplayCell start
2019-10-03 18:49:33.168889+0900 Browser[482:4685] 0.002023 DisplayCell end
2019-10-03 18:49:33.168918+0900 Browser[482:4685] 0.002052 DisplayCell start
2019-10-03 18:49:33.168942+0900 Browser[482:4685] 0.002076 DisplayCell end
2019-10-03 18:49:33.168970+0900 Browser[482:4685] 0.002104 DisplayCell start
2019-10-03 18:49:33.168995+0900 Browser[482:4685] 0.002130 DisplayCell end
2019-10-03 18:49:33.169026+0900 Browser[482:4685] 0.002160 DisplayCell start
2019-10-03 18:49:33.169051+0900 Browser[482:4685] 0.002185 DisplayCell end
2019-10-03 18:49:33.169082+0900 Browser[482:4685] 0.002215 DisplayCell start
2019-10-03 18:49:33.169106+0900 Browser[482:4685] 0.002240 DisplayCell end
2019-10-03 18:49:33.169137+0900 Browser[482:4685] 0.002271 DisplayCell start
2019-10-03 18:49:33.169163+0900 Browser[482:4685] 0.002297 DisplayCell end

2019-10-03 18:49:37.752706+0900 Browser[482:4685] 0.001300 /Users/itohisao/Desktop/DocumentsOfCaledar/47/source numberOfRows=6 
2019-10-03 18:49:37.754228+0900 Browser[482:4685] 0.002830 DisplayCell start
2019-10-03 18:49:37.754314+0900 Browser[482:4685] 0.002914 DisplayCell end
2019-10-03 18:49:37.754374+0900 Browser[482:4685] 0.002982 DisplayCell start
2019-10-03 18:49:37.754404+0900 Browser[482:4685] 0.003015 DisplayCell end
2019-10-03 18:49:37.754437+0900 Browser[482:4685] 0.003049 DisplayCell start
2019-10-03 18:49:37.754463+0900 Browser[482:4685] 0.003076 DisplayCell end
2019-10-03 18:49:37.754486+0900 Browser[482:4685] 0.003099 DisplayCell start
2019-10-03 18:49:37.754503+0900 Browser[482:4685] 0.003118 DisplayCell end
2019-10-03 18:49:37.754524+0900 Browser[482:4685] 0.003138 DisplayCell start
2019-10-03 18:49:37.754541+0900 Browser[482:4685] 0.003155 DisplayCell end
2019-10-03 18:49:37.754562+0900 Browser[482:4685] 0.003176 DisplayCell start
2019-10-03 18:49:37.754580+0900 Browser[482:4685] 0.003193 DisplayCell end
2019-10-03 18:49:37.754611+0900 Browser[482:4685] 0.003222 DisplayCell start
2019-10-03 18:49:37.754637+0900 Browser[482:4685] 0.003248 DisplayCell end
2019-10-03 18:49:37.754694+0900 Browser[482:4685] 0.003294 DisplayCell start
2019-10-03 18:49:37.754723+0900 Browser[482:4685] 0.003334 DisplayCell end
